"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"e:\Web\Ecommerce-Clothing-Store\src\App.css", "CSS", 0, 13, 7, 5, 25
"e:\Web\Ecommerce-Clothing-Store\src\App.js", "JavaScript", 14, 0, 0, 4, 18
"e:\Web\Ecommerce-Clothing-Store\src\App.test.js", "JavaScript", 8, 0, 0, 2, 10
"e:\Web\Ecommerce-Clothing-Store\src\Components\Backdrop\Backdrop.css", "CSS", 0, 9, 0, 0, 9
"e:\Web\Ecommerce-Clothing-Store\src\Components\Backdrop\Backdrop.js", "JavaScript", 4, 0, 0, 3, 7
"e:\Web\Ecommerce-Clothing-Store\src\Components\ImageGallery\ImageGallery.js", "JavaScript", 38, 0, 0, 6, 44
"e:\Web\Ecommerce-Clothing-Store\src\Components\Navigation\Buttons\Button.css", "CSS", 0, 52, 2, 1, 55
"e:\Web\Ecommerce-Clothing-Store\src\Components\Navigation\Buttons\Button.js", "JavaScript", 11, 0, 0, 3, 14
"e:\Web\Ecommerce-Clothing-Store\src\Components\SearchList\SearchList.css", "CSS", 0, 75, 104, 10, 189
"e:\Web\Ecommerce-Clothing-Store\src\Components\SearchList\SearchList.js", "JavaScript", 91, 0, 0, 9, 100
"e:\Web\Ecommerce-Clothing-Store\src\Components\SideDrawer\DrawerToggleButton.css", "CSS", 0, 20, 0, 2, 22
"e:\Web\Ecommerce-Clothing-Store\src\Components\SideDrawer\DrawerToggleButton.js", "JavaScript", 10, 0, 0, 3, 13
"e:\Web\Ecommerce-Clothing-Store\src\Components\SideDrawer\SideDrawer.css", "CSS", 0, 97, 1, 14, 112
"e:\Web\Ecommerce-Clothing-Store\src\Components\SideDrawer\SideDrawer.js", "JavaScript", 77, 0, 0, 6, 83
"e:\Web\Ecommerce-Clothing-Store\src\Components\Slider\Slider.css", "CSS", 0, 111, 0, 19, 130
"e:\Web\Ecommerce-Clothing-Store\src\Components\Slider\Slider.js", "JavaScript", 119, 0, 0, 13, 132
"e:\Web\Ecommerce-Clothing-Store\src\Components\Toolbar\Toolbar.css", "CSS", 0, 330, 1, 57, 388
"e:\Web\Ecommerce-Clothing-Store\src\Components\Toolbar\Toolbar.js", "JavaScript", 189, 0, 77, 5, 271
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\CartEach\cartEach.css", "CSS", 0, 59, 2, 4, 65
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\CartEach\cartEach.js", "JavaScript", 106, 0, 0, 11, 117
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Categorize\Categorize.css", "CSS", 0, 36, 2, 5, 43
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Categorize\Categorize.js", "JavaScript", 48, 0, 0, 4, 52
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Customers\Customer\Customer.css", "CSS", 0, 53, 3, 8, 64
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Customers\Customer\Customer.js", "JavaScript", 23, 0, 0, 0, 23
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Customers\Customers.css", "CSS", 0, 25, 1, 1, 27
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Customers\Customers.js", "JavaScript", 44, 0, 0, 3, 47
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Footer\Footer.css", "CSS", 0, 115, 3, 16, 134
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Footer\Footer.js", "JavaScript", 70, 0, 0, 3, 73
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Footer\delivery\delivery.css", "CSS", 0, 30, 0, 2, 32
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Footer\delivery\delivery.js", "JavaScript", 30, 0, 0, 3, 33
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\OrderTile\orderTile.css", "CSS", 0, 26, 0, 0, 26
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\OrderTile\orderTile.js", "JavaScript", 23, 0, 0, 3, 26
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Products\Product\Product.css", "CSS", 0, 58, 3, 3, 64
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Products\Product\Product.js", "JavaScript", 35, 0, 1, 5, 41
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Products\Products.css", "CSS", 0, 19, 7, 3, 29
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\Products\Products.js", "JavaScript", 43, 0, 21, 7, 71
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\UserEachOrder\UserEachOrder.css", "CSS", 0, 8, 0, 0, 8
"e:\Web\Ecommerce-Clothing-Store\src\Components\UI\UserEachOrder\UserEachOrder.js", "JavaScript", 11, 0, 0, 3, 14
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\Admin.css", "CSS", 0, 25, 0, 1, 26
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\Admin.js", "JavaScript", 39, 0, 0, 8, 47
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminFront\adminSlider.css", "CSS", 0, 46, 0, 3, 49
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminFront\adminSlider.js", "JavaScript", 118, 0, 0, 10, 128
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminOrders\AdminOrders.css", "CSS", 0, 27, 1, 2, 30
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminOrders\AdminOrders.js", "JavaScript", 55, 0, 0, 5, 60
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminOrders\EachOrder\EachOrder.css", "CSS", 0, 60, 0, 5, 65
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminOrders\EachOrder\EachOrder.js", "JavaScript", 143, 0, 0, 7, 150
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminProducts\AdminProducts.css", "CSS", 0, 7, 0, 0, 7
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminProducts\AdminProducts.js", "JavaScript", 40, 0, 0, 4, 44
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminProducts\CreateProduct\CreateProduct.css", "CSS", 0, 221, 2, 17, 240
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminProducts\CreateProduct\CreateProduct.js", "JavaScript", 402, 0, 0, 31, 433
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Cart\Cart.css", "CSS", 0, 60, 0, 5, 65
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Cart\Cart.js", "JavaScript", 88, 0, 0, 4, 92
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Checkout\Checkout.css", "CSS", 0, 108, 2, 7, 117
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Checkout\Checkout.js", "JavaScript", 152, 0, 1, 18, 171
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Forget\Forget.css", "CSS", 0, 28, 0, 0, 28
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Forget\Forget.js", "JavaScript", 51, 0, 0, 3, 54
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Home\Home.css", "CSS", 0, 31, 0, 4, 35
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Home\Home.js", "JavaScript", 59, 0, 1, 13, 73
"e:\Web\Ecommerce-Clothing-Store\src\Containers\LogIn\LogIn.css", "CSS", 0, 88, 1, 9, 98
"e:\Web\Ecommerce-Clothing-Store\src\Containers\LogIn\LogIn.js", "JavaScript", 72, 0, 0, 7, 79
"e:\Web\Ecommerce-Clothing-Store\src\Containers\LoginSignup\LoginSignup.css", "CSS", 0, 48, 0, 0, 48
"e:\Web\Ecommerce-Clothing-Store\src\Containers\LoginSignup\LoginSignup.js", "JavaScript", 41, 0, 0, 10, 51
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Payment\Payment.css", "CSS", 0, 45, 0, 1, 46
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Payment\Payment.js", "JavaScript", 42, 0, 0, 4, 46
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\Products.css", "CSS", 0, 77, 13, 4, 94
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\Products.js", "JavaScript", 196, 0, 5, 16, 217
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\Boys.js", "JavaScript", 148, 0, 5, 9, 162
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\Infants.js", "JavaScript", 148, 0, 5, 9, 162
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\accessory.js", "JavaScript", 138, 0, 5, 9, 152
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\newarrival.js", "JavaScript", 149, 0, 5, 9, 163
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\sale.js", "JavaScript", 149, 0, 5, 9, 163
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Signup\Signup.css", "CSS", 0, 89, 1, 8, 98
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Signup\Signup.js", "JavaScript", 107, 0, 0, 3, 110
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Single-Product\SingleProduct.css", "CSS", 0, 139, 5, 26, 170
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Single-Product\SingleProduct.js", "JavaScript", 141, 0, 0, 15, 156
"e:\Web\Ecommerce-Clothing-Store\src\Containers\UserDetails\EachOrder\EachOrder.css", "CSS", 0, 61, 0, 5, 66
"e:\Web\Ecommerce-Clothing-Store\src\Containers\UserDetails\EachOrder\EachOrder.js", "JavaScript", 111, 0, 0, 9, 120
"e:\Web\Ecommerce-Clothing-Store\src\Containers\UserDetails\UserDetails.css", "CSS", 0, 110, 2, 9, 121
"e:\Web\Ecommerce-Clothing-Store\src\Containers\UserDetails\UserDetails.js", "JavaScript", 80, 0, 1, 15, 96
"e:\Web\Ecommerce-Clothing-Store\src\Containers\logout\logout.js", "JavaScript", 8, 0, 0, 2, 10
"e:\Web\Ecommerce-Clothing-Store\src\Hoc\Wrapper.css", "CSS", 0, 33, 0, 2, 35
"e:\Web\Ecommerce-Clothing-Store\src\Hoc\Wrapper.js", "JavaScript", 42, 0, 1, 4, 47
"e:\Web\Ecommerce-Clothing-Store\src\firebase.js", "JavaScript", 115, 0, 25, 15, 155
"e:\Web\Ecommerce-Clothing-Store\src\index.css", "CSS", 0, 16, 0, 2, 18
"e:\Web\Ecommerce-Clothing-Store\src\index.js", "JavaScript", 25, 0, 5, 5, 35
"e:\Web\Ecommerce-Clothing-Store\src\routes.js", "JavaScript", 61, 0, 2, 8, 71
"e:\Web\Ecommerce-Clothing-Store\src\serviceWorker.js", "JavaScript", 98, 0, 31, 13, 142
"e:\Web\Ecommerce-Clothing-Store\src\setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"e:\Web\Ecommerce-Clothing-Store\src\store\actions.js", "JavaScript", 7, 0, 0, 0, 7
"e:\Web\Ecommerce-Clothing-Store\src\store\reducer.js", "JavaScript", 70, 0, 0, 7, 77
"Total", "-", 4090, 2455, 363, 638, 7546